id,avtor
Ben_Carter_(Earth-616),Don Heck

Ben_Dancer_(Earth-616),Jack Kirby

Ben_Kragg_(Earth-616),Steve Ditko

Berchtesgaden,Gene Colan

Berhert,Herbert Trimpe

Bernard_O%27Brien_(Earth-616),Steve Ditko

Bernard_the_Poet_(Earth-616),Jack Kirby

Bert_Rose_(Earth-616),Bill Everett

Bert_Rose_(Earth-616),Marv Wolfman

Bert_Rose_(Earth-616),Bob Brown

Bestla_(Earth-616),Jack Kirby

Beth_Kemperer_(Earth-7888),Jack Kirby

Betty_Bliss_(Earth-616),Al Hartley

Betty_Dean_(Earth-77013),Larry Lieber

Betty_Dean_(Earth-77013),Alex Saviuk

Beverly_Carter_(Earth-616),Jack Kirby

Beverly_Dayton_(Earth-616),John Buscema

Bifrost,Larry Lieber

Bifrost,Jack Kirby

Big-Time_(Bigelow)_(Earth-77013),Larry Lieber

Biggie_Benson_(Earth-616),Gene Colan

Bigshot_(Earth-77013),Larry Lieber

Big_Bill_Corbett_(Earth-616),Jack Kirby

Big_Gully_Dam,Jack Kirby

Big_Joe_(Earth-616),John Romita Sr.

Big_Joe_(Earth-616),Frank Giacoia

Big_Joe_(Mobster)_(Earth-616),Jack Kirby

Big_Sam_(Samuel)_(Earth-616),Mike Sekowsky

Billy_Langley_(Earth-616),Jack Kirby

Bill_Brinkly_(Earth-616),Steve Ditko

Bill_Carter_(Earth-616),Larry Lieber

Bill_Carter_(Earth-616),Don Heck

Bill_Cooper_(Earth-616),Jack Kirby

Bill_Leonard_(Earth-616),Dick Ayers

Bill_Lindo_(Earth-616),Jack Davis

Bill_Segrist_(Earth-616),Jack Kirby

Bio-Synthetic_Wings,Ernie Hart

Bio-Synthetic_Wings,Jack Kirby

Bisq_(Earth-616),Jack Kirby

Blackagar_Boltagon_(Earth-616),Jack Kirby

Blackagar_Boltagon_(Earth-71016),John Romita Jr.

Blackie_Carter_(Earth-616),Don Heck

Blackie_Gaxton_(Earth-616),Steve Ditko

Blackie_Skarr_(Earth-616),Jack Kirby

Blackjack_Bordon_(Earth-616),Jack Kirby

Black_Barker_(Earth-616),Jack Kirby

Black_Feather_(Earth-616),Jack Keller

Black_Galaxy,Jack Kirby

Black_Knight_(Animated_Armor)_(Earth-616),Jack Kirby

Black_Silas_(Earth-616),Jack Keller

Black_Swamp,Jack Kirby

